,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
1931,5181,Beleuchtung > Straßenlaternen defekt,"47.6861082688067, 9.1967636346817",Stadtwerke Konstanz,Gelöst,29.07.2021,"Mainaustraße 196, 78464 Konstanz, Germany                    ","Lampe kaputt, immer dunkel. Seit drei Tagen defekt. Strassenlaterne steht in Höhe Mainaustrasse 196.",
1932,5182,Müll/Sauberkeit > Illegaler Müll,"47.6738027272195, 9.1706432774663",Technische Betriebe,Gelöst,30.07.2021,"Schneckenburgstraße 28, 78467 Konstanz, Germany                    ","Sperrmüll liegt seit Mittwoch auf den grünstreifen, immer wieder liegt Müll auf den rad Streifen oder sogar auf der Fahrbahn!!",
1933,5183,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6677464182362, 9.16297631508241",Technische Betriebe,Gelöst,30.07.2021,"Rheingutstraße 46, 78462 Konstanz, Germany                    ",Die Büsche sollten bitte ordentlich zurückgeschnitten werden. Zwei Fahrradfahrer kommen da mittlerweile teilweise nicht mehr aneinander vorbei. Vielen Dank! :),
1934,5184,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6817336134067, 9.21039686528881",Technische Betriebe,Gelöst,30.07.2021,"Schiffstraße 46, 78464 Konstanz, Germany                    ","Schlaglöcher an Kanaldeckeln 
Sturzgefahr für Radfahrer",
1935,5185,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6845634973538, 9.16913979465356",Technische Betriebe,Ungelöst Abgeschlossen,30.07.2021,"Sonnentauweg 20, 78467 Konstanz, Germany                    ","Ein großer entwurzelter Baum liegt quer über dem Weg. 
Nur durch übersteigen ist es möglich den Weg zu begehen.",
1936,5186,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6911225, 9.1502334",Technische Betriebe,Gelöst,31.07.2021,"Benedikt-Bauer-Straße 12, 78467 Konstanz, Germany                    ","Das sogenannte Strassenbegleitgrün sollte dringend gemäht werden. Es ist Kinds-hoch und enthält stellenweise Brombeer- und Rosenranken sowie scharfkantiges Schilf. Verlezungsgefahr!
(Adresssuche nach: Benedikt-Bauer-Strasse)",
1942,5192,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6698712, 9.1884445",Technische Betriebe,Gelöst,01.08.2021,"Eichhornstraße 5, 78464 Konstanz, Germany                    ","Verkehrsschild Tempo 50 zugewachsen
(Adresssuche nach: Eichhornstraße 4)",
1944,5194,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6915113435016, 9.19122887716926",Technische Betriebe,Gelöst,01.08.2021,"Flurweg 15, 78464 Konstanz, Germany                    ","Grün wächst in Radspur hinein.
(Auffahrt Brücke)
Unfallgefahr bei entgegenkommenden Radfahrern.",
1945,5195,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6693121996628, 9.18140329420567",Technische Betriebe,Gelöst,02.08.2021,"L220 7, 78467 Konstanz, Germany                    ",Glasscheiben auf Radweg,
1947,5197,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.671312, 9.1930027",Technische Betriebe,Gelöst,02.08.2021,"Zeppelinstraße 12, 78464 Konstanz, Germany                    ","Monatliche wiederholenden Straßenschäden gefährden sämtliche Verkehrsteilnehmer.
(Adresssuche nach: Zeppelinstraße)",
1949,5199,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.7320100537255, 9.11877389401002",OV Dettingen-Wallhausen,Gelöst,02.08.2021,"Waldstraße 1, 78465 Konstanz, Germany                    ",Pfosten ist verborgen am Eingang,
1950,5200,Müll/Sauberkeit > Illegaler Müll,"47.6813726004842, 9.15190438309496",Technische Betriebe,Gelöst,03.08.2021,"Erfurter Str. 22, 78467 Konstanz, Germany                    ","illegale Müllentsorgung, zB. Schreibtischstuhl, Radweg parallel zur Reutestraße
(Adresssuche nach: Radweg Leipziger str)",
1951,5201,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6667548, 9.1853434",Technische Betriebe,Gelöst,03.08.2021,"Seestraße 15, 78464 Konstanz, Germany                    ","Viele Scherben auf dem Radweg an der Unterführung Rheinbrücke schon seit Anfang der Woche!
(Adresssuche nach: Seestrasse)",
1952,5202,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6840582967923, 9.2015423851152",Technische Betriebe,Gelöst,03.08.2021,"Bündtgasse 1, 78464 Konstanz, Deutschland                    ",Fehlender und abgehängter Spiegel für die Ausfahrt.,
1954,5204,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6901444787232, 9.18061948206516",Technische Betriebe,Ungelöst Abgeschlossen,03.08.2021,"Universitätsstraße, 78464 Konstanz, Germany                    ","Auch wenn diese Meldung doppelt ist: Dieser Radweg wurde immer noch nicht repariert, er ist mittlerweile seit Wochen massiv ausgewaschen und der Kies ist teilweise so tief, dass man mit dem Fahrrad ""schwimmt"". Von der Universität kommend ist es besonders gefährlich. Habe gerade heute wieder einen fast-Unfall beobachten können, die Radfahrerin war zwar langsam, aber der Radweg einfach zu schlecht, dass sie ihr Fahrrad vernünftig unter Kontrolle behalten konnte. 
Dieser Weg sollte dringendst ausgebessert werden!
P.S. Der ""Radweg"" (Pinselstriche) an der Straße ist kein vernünftiger Ersatz, da dieser Weg länger ist, mehr Höhenmeter beinhaltet und auch noch auf der Straße mit sehr schnell fahrenden Fahrzeugen verläuft.",
1955,5205,Beleuchtung > Straßenlaternen defekt,"47.6663729412972, 9.16026413440704",Stadtwerke Konstanz,Gelöst,04.08.2021,"Sankt-Martins-Weg 3B, 78462 Konstanz, Germany                    ",Laterne 1 ist immer noch defekt oder schon wieder.,
1956,5206,Müll/Sauberkeit > Altglascontainer überfüllt,"47.6621472270466, 9.17772371094654",Technische Betriebe,Gelöst,05.08.2021,"Konstanz, Konzilstrasse, 78462 Konstanz, Germany                    ",Aktuelle Bilder von gestern Abend 04.08.  Das wiederholt sich jede Woche. Große Gastronomiebetriebe entsorgen auf einen Schlag 200 oder 300 Flaschen und wir haben keine Platz mehr. Es sieht schlimm aus direkt neben der schönsten Bushaltestelle der Stadt.,
1957,5207,Beleuchtung > Straßenlaternen defekt,"47.658236108811, 9.17520832371111",Stadtwerke Konstanz,Gelöst,05.08.2021,"Sigismundstraße 21, 78462 Konstanz, Germany                    ",Straßenlaterne droht umzustürzen.,
1958,5208,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6759898372747, 9.18430053095241",Stadtverwaltung,Gelöst,05.08.2021,"Friedrichstraße 10C, 78464 Konstanz, Deutschland                    ",vor dem haus friedrichstrasse 10 c ist der gully verstopft.,
1959,5209,Müll/Sauberkeit > Illegaler Müll,"47.6799705333829, 9.1544983908534",Technische Betriebe,Gelöst,05.08.2021,"Max-Stromeyer-Straße 170C, 78467 Konstanz, Germany                    ",Entlang des Radweges wurde ein Staubsauger entsorgt.,
1960,5210,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6696472167969, 9.19958007257427",Stadtverwaltung,Gelöst,06.08.2021,"Beethovenstraße 44, 78464 Konstanz, Germany                    ",Gullideckel verdreht und Locker --> Stolperfalle,
1961,5211,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6869952075514, 9.19860877052998","Behrendt, Chrtistian",Gelöst,06.08.2021,"Koberleweg 1, 78464 Konstanz, Deutschland                    ",Zonenhalteverbotsschild Eggerstrasse Ecke Kobeleweg zugewachsen,
1962,5212,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6829193903783, 9.15150550646195",Technische Betriebe,Gelöst,06.08.2021,"Hardtstraße 26, 78467 Konstanz, Germany                    ","An der auf der Karte gekennzeichneten Stelle (zwischen Hardtstraße 26 und Reutestraße 2) wurde ein gelber Sack überfahren. 
Der Plastikmüll verteilt sich nun in der Umgebung.",
1963,5213,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6682437312185, 9.17401627195072",Stadtverwaltung,Gelöst,06.08.2021,"Bicycle bridge, Fahrradbrücke, 78467 Konstanz, Germany                    ","Auf der Fahrradbrücke sind fast alle Gullis verstopft. Ebenso ist am nördlichen Brückenkopf (Herosepark) die über die Radtrasse verlaufende Ablaufrinne komplett verstopft. In Folge der stärken Regenfälle haben sich starke Fluten gebildet, die Schäden an beiden Brückenköpfen verursacht haben. 
Am Brückenkopf Nord (Herosepark) wurde ein Randstein ausgespült und stellt jetzt eine Unfallgefahr da.
Am Brückenkopf Süd, an der Anfahrt von der Schottenstraße sind mehrere Pflastersteine des Radwegbelags ausgespült worden und jetzt lose. Hier besteht eine hohe Unfallgefahr für Radfahrer.",
1964,5214,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.666436093409, 9.17486491364408",Stadtverwaltung,Gelöst,06.08.2021,"Untere Laube 11A, 78462 Konstanz, Germany                    ",In der Unteren Laube Fahrtrichtung Rheinsteig sind mehrere Gullis verstopft (rechts und links der Fahrspur). Bei dem Gulli direkt an der Fußgängerampel auf Höhe der Hausnummer 11 bildet sich regelmäßig ein See. Dadurch sind die wartenden Fußgänger gefährdet.,
1966,5216,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6679798177811, 9.17667458575239",Stadtverwaltung,Gelöst,06.08.2021,"Spanierstraße 14, 78467 Konstanz, Germany                    ",In der Spanierstrasse im Grünstreifen am Rheinufer liegt ein KONRAD Fahrrad,
1967,5217,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6669493667593, 9.17483769248729",Stadtverwaltung,Gelöst,06.08.2021,"Webersteig 1, 78462 Konstanz, Germany                    ",Am Webersteig bei der Einmündung in die Untere Laube liegt unter einem Baum ein stark beschädigtes Fahrrad,
1968,5218,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6806030273438, 9.20283544290489","Behrendt, Chrtistian",Gelöst,06.08.2021,"Staader Str. 6, 78464 Konstanz, Germany                    ",Schild teilweise verdeckt. Unfallgefahr.,
1970,5220,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6688204532636, 9.16503679007292",Technische Betriebe,Gelöst,07.08.2021,"Gastro Naturfreunde, Winterersteig 11, 78462 Konstanz, Germany                    ",Sträucher wuchern auf den Weg/Zufahrtsstraße. Schlaglöcher im Weg.,
1971,5221,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.67138671875, 9.19873849489653",Stadtverwaltung,Gelöst,08.08.2021,"Salesianerweg 7, 78464 Konstanz, Germany                    ",Schachtabdeckung steht hoch. Stolper-/Sturzgefaht,
1972,5222,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6731387675731, 9.18138083070517",Stadtverwaltung,Gelöst,08.08.2021,"Steinstraße 4, 78467 Konstanz, Germany                    ","Steht schon länger, wurde schon mal gemeldet und ein roter Kleber mit Datum 09.07.2021 angebracht, bis heute jedoch nicht entfernt.
Steht jetzt ein Baum weiter und ist ein Monat über Datum",
1973,5223,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6706542057453, 9.18638750910759",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,08.08.2021,"Mainaustraße 31, 78464 Konstanz, Germany                    ",Illegale Ratten Fütterung auf Spielplatz,
1974,5224,Öffentliche Orte/Ufer > Seeufer verschmutzt,"47.668864480334, 9.17439199984074",Technische Betriebe,Gelöst,08.08.2021,"Spanierstraße 11, 78467 Konstanz, Germany                    ",Einkaufswagen auf Tauchgang,
1976,5226,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6641144151583, 9.17772505982345",Technische Betriebe,Gelöst,08.08.2021,"Theatergasse 4, 78462 Konstanz, Germany                    ","Es befinden sich auf dem Susosteig einige Absperreinrichtungen, die der Stadt Konstanz gehören. Es wäre angebracht, dass die TBK diese entfernt bevor sie wieder in den Kanal geworfen werden.",
1978,5228,Beleuchtung > Straßenlaternen defekt,"47.7412363, 9.1528899",Stadtwerke Konstanz,Gelöst,09.08.2021,"Bohlstraße 8, 78465 Konstanz, Germany                    ","Laterne Nr 4 zwischen Haus Nr 6 und 8 flackert.
(Adresssuche nach: Bohlstrasse)",
1979,5229,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.7356125906634, 9.11022953689098",OV Dettingen-Wallhausen,Gelöst,09.08.2021,"Allensbacher Str. 30, 78465 Konstanz, Germany                    ","Die Büsche ragen immer weiter in den Radweg hinein, gerade auf dem Fahrrad ist das noch störender.",
1980,5230,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6845397949219, 9.14543143444877",Technische Betriebe,Gelöst,09.08.2021,"Mannheimer Str. 1, 78467 Konstanz, Germany                    ",Gefährderbaum absterbender Baum Mannheimerstr.1 / Außenanlagen Kleingärten.  Baum ist zur Hälfte schon abgestorben und kann auf die Straße Stürzen.,
1981,5231,Beleuchtung > Straßenlaternen defekt,"47.6796875, 9.18947576742232",Stadtwerke Konstanz,Gelöst,10.08.2021,"Sonnenbühlstraße 51, 78464 Konstanz, Germany                    ","bitte Straßenlaterne reparieren, Beleuchtung geht nicht.",
1983,5233,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.7014587628549, 9.18427115995901",Technische Betriebe,Gelöst,10.08.2021,"Mainaustraße 1, 78465 Konstanz, Germany                    ","Ich melde die Schäden jetzt schon zum 3. mal und es wird wiederholt Kies in die Löcher gekippt ohne zu verdichten. Mittlerweile ist zum Weg auf die Mainau ein richtiger Absatz und man platscht in ein ca 7 cm Loch.
Kann das bitte mal richtig gemacht werden?!
Die Radwegsanierung lässt an vielen Stellen sehr zu wünschen übrig.
Es wird in tiefe Rinnsale immer nur Schotter verfüllt, der nach kurzer Zeit wieder ausgespült und weggedrückt wird.",
1985,5235,Müll/Sauberkeit > Illegaler Müll,"47.6777212748258, 9.20912168876384",Technische Betriebe,Gelöst,11.08.2021,"Überlinger Str. 13, 78464 Konstanz, Deutschland                    ",Müll liegt auf der Wiese.,
1987,5237,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6877664641951, 9.14418694435651","Behrendt, Chrtistian",Gelöst,11.08.2021,"Mühlenweg 9, 78467 Konstanz, Germany                    ",nach wie vor Heckenwuchs in den Rad/Fußweg mit Behinderung!,
1992,5242,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.7099496, 9.1701185",Bauhof OV Litzelstetten,Gelöst,12.08.2021,"Konstanzer Weg 9, 78465 Konstanz, Germany                    ","Die Kathegorie (Beschilderung)  ist nicht ganz richtig. Im Konstanzer Weg sind im Zug einer Baumassnahme vor 2 Jahren (Glasfaser) die eingezeichneten Parkbuchten grösstenteils verschwunden. Diese sollten dringend wieder eingezeichnet werden, da  Parkwildwuchs sich breitmacht und in der Strasse  (lt Beschilderung) ausdrücklich das Parken nur in den ausgewiesenen Flächen erfolgen soll.
(Adresssuche nach: konstanzer weg)",
1993,5243,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6827730090553, 9.20292897892982",Meyer,Gelöst,12.08.2021,"B33 158, 78464 Konstanz, Deutschland                    ","An der Kreuzung Mainaustrasse und Schiffstrasse in Allmannsdorf reagiert die Ampel nicht allein auf grün für Radfahrer, die von der Fähre kommen. Man muss zusätzlich die Fußgängerampel drücken, um in die Grünphase für Radfahrer zu kommen. Und das macht ja wohl keinen Sinn. Ich hoffe, dass der Fehler bald behoben wird. Vielen Dank!",
1995,5245,Beleuchtung > Straßenlaternen defekt,"47.7167663574219, 9.17520731457481",Stadtwerke Konstanz,Gelöst,12.08.2021,"Holländerstraße 65, 78465 Konstanz, Germany                    ",holdersteig litzelstetten Lampe Nr. 12 brennt nicht,
1997,5247,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.663641094208, 9.17149443113843",Technische Betriebe,Gelöst,13.08.2021,"Schottenstraße 27, 78462 Konstanz, Germany                    ","Glasscherben auf der Fahrradstr. 
habe leider keinen Besen dabei (mit Rad unterwegs) sonst hätte ich es so entsorgt. 
besten Dank!",
2001,5251,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6707398369026, 9.1724566237698",Technische Betriebe,Gelöst,13.08.2021,"Konstanz, Am Rheinufer, 78467 Konstanz, Germany                    ",Glasscherben auf dem Rad/Fußweg,
2002,5252,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6623883101504, 9.17772044856974",Technische Betriebe,Gelöst,13.08.2021,"Konstanz, Konzilstrasse, 78462 Konstanz, Germany                    ",An der Bushaltestelle Konzil/Theater fehlt ein Mülleimer.,
2003,5253,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6771599226418, 9.20959418695437",Technische Betriebe,Gelöst,13.08.2021,"Fohrenbühlweg 7, 78464 Konstanz, Germany                    ","Spielplatz Herosepark/
Spielgerät Delfin defekt",
2004,5254,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6817913280416, 9.15072536981726",Technische Betriebe,Gelöst,13.08.2021,"Hardtstraße 36, 78467 Konstanz, Germany                    ","Ein Baum (Weide) ist umgefallen
(Adresssuche nach: Leipzigerstr)",
2005,5255,Müll/Sauberkeit > Illegaler Müll,"47.6694028023657, 9.18239160758196",Technische Betriebe,Gelöst,13.08.2021,"Alter Wall 2, 78467 Konstanz, Germany                    ",Einkaufswagen Aldi,
2007,5257,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6669915146799, 9.19621227422083","Behrendt, Chrtistian",Gelöst,14.08.2021,"Hinterhauser Str. 19, 78464 Konstanz, Germany                    ",Die Äste  versperren in die Kurve  - Hinterhauser Straße die Sicht. Für Radfahrer sehr gefährlich!,
2009,5259,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6727439331225, 9.18121400035312",Technische Betriebe,Gelöst,15.08.2021,"Jahnstraße 16, 78467 Konstanz, Germany                    ","Leider befindet sich in der Jahnstraße im Grünstreifen viel Müll, ich konnte dort bisher aber auch keine öffentlichen Mülleimer entdecken.",
2010,5260,Beleuchtung > Straßenlaternen defekt,"47.683349609375, 9.14726834523967",Stadtwerke Konstanz,Gelöst,16.08.2021,"Riedstraße 38, 78467 Konstanz, Germany                    ",angefahrene Laterne Riedstrasse höhe skaterplatz,
2011,5261,Müll/Sauberkeit > Mülleimer überfüllt,"47.6775738848338, 9.20911386609077",Technische Betriebe,Gelöst,16.08.2021,"Überlinger Str. 13, 78464 Konstanz, Germany                    ",Mülleimer ist seit Tagen massiv überfüllt und die Raben suchen nach Essensresten im Müll und verteilen den Abfall.,
2012,5262,Müll/Sauberkeit > Illegaler Müll,"47.6829011257853, 9.16628770530224",Technische Betriebe,Gelöst,16.08.2021,"Hansjakobweg 31, 78467 Konstanz, Germany                    ","Illegal abgelegter Müll, Holz, Fahrradsattel, Tuben,  ...
Rosmarinheideweg Höhe Strassenleuchte 12",
2013,5263,Öffentliche Orte/Ufer > Öffentliche WCs defekt / verunreinigt,"47.6576248213871, 9.17831416882186",Hochbauamt,Gelöst,16.08.2021,"Hafenstraße 7, 78462 Konstanz, Germany                    ","Öffnung mit EU-Schlüssel für Behindertentoilett zum wiederholten Male nicht möglich 
Samstag 14.08.21
(Adresssuche nach: Hafenstr)",
2014,5264,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6809759327057, 9.16420094668865",Stadtverwaltung,Gelöst,16.08.2021,"Rosmarinheideweg 5, 78467 Konstanz, Germany                    ","Fahrrad gefunden, sieht nicht mehr gut aus",
2015,5265,Müll/Sauberkeit > Illegaler Müll,"47.6766057487785, 9.17456019758228",Technische Betriebe,Gelöst,16.08.2021,"Am Briel 53, 78467 Konstanz, Germany                    ",Seit Tagen Schrott auf dem Gehweg (antlang Am Briel). Hin und wieder stellt jemand was dazu.,
2016,5266,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6577912, 9.1739398",Technische Betriebe,Gelöst,16.08.2021,"Bodanpl. 4, 78462 Konstanz, Germany                    ","Auf der Höhe zwischen Bodan Kiosk (Rückseite) und Chinesischem Restaurant befindet sich ein lockerer Pflasterstein (Stolpergefahr)
(Adresssuche nach: Bodanplatz 4)",
2017,5267,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.670576, 9.1855122",Stadtverwaltung,Gelöst,17.08.2021,"Friedrich-Hug-Straße 5, 78464 Konstanz, Deutschland                    ","Die Ampel der Rechtsabbieger von der Mainaustr. in die Andre-Noel-Straße / Luisenstraße schaltet nicht immer auf Grün für die Rechtsabbieger, entweder schaltet sie nur jeden 2. Zyklus oder etwas stimmt nicht mit den Zyklen. 
Bitte hier eine Grünphase pro Zyklus schalten lassen!",
2020,5270,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6642456054688, 9.17761346169353",Technische Betriebe,Gelöst,18.08.2021,"Theatergasse 4, 78462 Konstanz, Germany                    ",Straßenschild umgekippt,
2021,5271,Beleuchtung > Straßenlaternen defekt,"47.655982532668, 9.17261078910087",Stadtwerke Konstanz,Gelöst,18.08.2021,"Schwedenschanze 20, 78462 Konstanz, Deutschland                    ",Laterne Nr.20 Kreuzlingerstrasse Ecke Schwedenschanze defekt,
2023,5273,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.663956700907, 9.17751744389534",Technische Betriebe,Gelöst,19.08.2021,"Theatergasse 4, 78462 Konstanz, Germany                    ",Konzilstrasse Ecke Theatergasse ist das Verkehrsschild (Richtungspfeil) umgestürzt.,
2024,5274,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.7322281, 9.1187123",OV Dettingen-Wallhausen,Gelöst,19.08.2021,"Waldstraße 1, 78465 Konstanz, Germany                    ","Tor beschädigt, lässt sich nicht mehr schließen",
2025,5275,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6926765520896, 9.14567928761244",Meyer,Gelöst,19.08.2021,"Radolfzeller Str. 37, 78467 Konstanz, Germany                    ",Linksabbieger-Ampel-Schaltung/-Schleife reagiert nicht auf Fahrräder (Radolfzellerstr in den Kennerweg),
2026,5276,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6875822640551, 9.14367744135719",Technische Betriebe,Gelöst,19.08.2021,"Mannheimer Str. 38, 78467 Konstanz, Germany                    ",Die beiden Mittelinseln Mannheimerstr.wurden dieses Jahr noch nicht gemäht.,
2027,5277,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6720064, 9.1738616",Technische Betriebe,Gelöst,20.08.2021,"Markgrafenstraße 41, 78467 Konstanz, Germany                    ","Bushaltestelle Markgrafenstr stadteinwärts wurde die Baustelle abgebaut. Der Gehweg ist total verschmutzt und vermüllt.
(Adresssuche nach: Markgrafenstr )",
2028,5278,Beleuchtung > Straßenlaternen defekt,"47.6791579685193, 9.15704665300925",Stadtwerke Konstanz,Gelöst,20.08.2021,"Felix-Wankel-Straße 8, 78467 Konstanz, Deutschland                    ",alle Straßenlampen hier zwischen Bahnunterführung und Felix-Wankel-Straße ausgefallen,
2031,5281,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6818594220886, 9.16449297219515",Stadtverwaltung,Gelöst,21.08.2021,"Rosmarinheideweg 13, 78467 Konstanz, Germany                    ",Herrenloses Fahrrad. Lag in der Hecke des Imkervereins.,
2032,5282,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6675301807891, 9.19962376268813",Stadtverwaltung,Gelöst,22.08.2021,"Johann-Sebastian-Bach-Straße 5, 78464 Konstanz, Deutschland                    ","Seit ein paar Tagen steht vor dem Haus John.-SEB.-Bach-Str. 2 ein herrenloses (Jugend?-)Fahrrad, nicht abgeschlossen (22.08.2021).",
2033,5283,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6729646631875, 9.17616633337402",Technische Betriebe,Gelöst,22.08.2021,"Sankt-Gebhard-Straße 38, 78467 Konstanz, Germany                    ",Eine Wassertisch-Auffangwanne ist voll.  Es gibt massive Wasserübertretung.,
2035,5285,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6689520653669, 9.17444024323935",Technische Betriebe,Gelöst,22.08.2021,"Spanierstraße 11, 78467 Konstanz, Germany                    ",Da alle Gullis auf der Radbrücke verstopft sind fließt das Regenwasser am Brückenkopf Nord über die Fahrbahn weiter zur Entwässerungsrinne. Diese ist ebenfalls komplett verstopft. Daher findet das Wasser seinen weiteren Weg und fließt in den wassergebunden Weg entlang des Rheinufers. Dort kommt es zu starken Ausspülungen und deswegen zu einer großen Unfallgefahr.,
2036,5286,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6694914, 9.1788867",Technische Betriebe,Gelöst,22.08.2021,"Leopold-Spiegel-Weg 1, 78467 Konstanz, Deutschland                    ",Am Leopold-Spiegel-Weg sowie am Bodenseeradweg sind mehrere Verkehrsschilder durch Moosablagerungen nicht mehr erkenntlich,
2037,5287,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6735857731603, 9.17469751313039",Technische Betriebe,Gelöst,22.08.2021,"Z-Brücke, Bahnhof, 78467 Konstanz, Germany                    ",Ein temporäres Verkehrsschild wurde entwendet und auf die Grünfläche am Bahnhaltpunkt Petershausen Süd verschleppt.,
2038,5288,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6874298420718, 9.1577652431609",Technische Betriebe,Gelöst,23.08.2021,"Kopernikusweg 11, 78467 Konstanz, Deutschland                    ","Die Treppe am Ende der Liebigstr. ist voller Kirschkerne des angrenzenden Grundstückes. Dies ist extrem gefährlich. Außerdem liegt jetzt noch das ganze entfernte Unkraut auf der Treppe.
(Adresssuche nach: Liebigweg Konstanz)",
2039,5289,Müll/Sauberkeit > Illegaler Müll,"47.6715744443454, 9.15030274540186",Technische Betriebe,Gelöst,23.08.2021,"Rudolf-Diesel-Straße 10, 78467 Konstanz, Germany                    ",Offensichtlich wurde an genannter Örtlichkeit illegal Bauschutt entsorgt.,
2040,5290,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6917724551057, 9.15000274924281",Stadtverwaltung,Gelöst,23.08.2021,"Benedikt-Bauer-Straße 23, 78467 Konstanz, Germany                    ","Fahrrad mit Kindersitz lehnt seit mindestens 1 Woche am dortigen Jägerzaun (mit Hecke).
Position wie angegeben: an der Kreuzung auf der anderen Seite des Kinderspielplatzes)",
2041,5291,Beleuchtung > Straßenlaternen defekt,"47.6580059, 9.1718132",Stadtwerke Konstanz,Gelöst,23.08.2021,"Falkengasse 1A, 78462 Konstanz, Germany                    ","In der Falkengasse sind 2 Straßenlaternen seit längerem defekt. Meldung wurde von den Anwohner bereits vor 4 Wochen an die Stadtwerke weitergeleitet. bisher geschah nichts. Die Falkengasse ist Nachts dunkel.
Wir bitten die Beleuchtung zu reparieren.
Mit freundlichen Grüßen
HV Falkengasse
(Adresssuche nach: Falkengasse)",
2042,5292,Beleuchtung > Straßenlaternen defekt,"47.6861060117552, 9.19675257056952",Stadtwerke Konstanz,Gelöst,23.08.2021,"Mainaustraße 196C, 78464 Konstanz, Germany                    ",Die Strassenlaterne ist schon seit 5 Wochen defekt. Wurde schon bei Ihnen zweimal telefonisch bei den Stadtwerke gemeldet. Die Damen am Telefon wollten den Defekt an die richtige Stelle weiterleiten. Die Laterne hat die Nr. 11.,
2043,5293,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6707753816936, 9.17250252516598",Technische Betriebe,Gelöst,23.08.2021,"Konstanz, Am Rheinufer, 78467 Konstanz, Deutschland                    ",Glasscherben auf dem Rad und Fußweg,
